(P,24)
(I,23)
(I,22)
(I,21)
(I,20)
(I,19)
(I,18)
(I,17)
(I,16)
(I,15)
(I,14)
(I,13)
(O,|)
(I,0)
(I,0)
(I,0)
(I,0)
(I,0)
(I,0)
(I,0)
(I,0)
(I,0)
(I,0)
(O,|)
(C,0)
(I,0)
(I,0)
(I,0)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
