(C,87)
(I,86)
(I,85)
(I,84)
(I,83)
(I,82)
(I,81)
(I,80)
(I,79)
(I,78)
(I,77)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(P,0)
(I,0)
(I,0)
(I,0)
(I,0)
(I,0)
(I,0)
(I,0)
(I,0)
(I,0)
(I,0)
(I,0)
(I,0)
(I,0)
(I,0)
(I,0)
(O,|)
(O,|)
(O,|)
(O,|)
(P,0)
(I,0)
(O,|)
(I,0)
(I,0)
(I,0)
(I,0)
(I,0)
(I,0)
(I,0)
(I,0)
(I,0)
(I,0)
(I,0)
(O,|)
(I,0)
(I,0)
(I,0)
(I,0)
(I,0)
(I,0)
(I,0)
(I,0)
(I,0)
(I,0)
(I,0)
(I,0)
(I,0)
(I,0)
(I,0)
(I,0)
(I,0)
(I,0)
(I,0)
(I,0)
(I,0)
(I,0)
(I,0)
(I,0)
(I,0)
(I,0)
(I,0)
(I,0)
(I,0)
(I,0)
(I,0)
(I,0)
(I,0)
(I,0)
(I,0)
(I,0)
(I,0)
(I,0)
(I,0)
(I,0)
(I,0)
(I,0)
(I,0)
(I,0)
(I,0)
(I,0)
(I,0)
(I,0)
(I,0)
(I,0)
(I,0)
(I,0)
(I,0)
(I,0)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
