(C,308)
(I,307)
(I,306)
(I,305)
(I,304)
(I,303)
(I,302)
(I,301)
(I,300)
(I,299)
(I,298)
(I,297)
(I,296)
(I,295)
(I,294)
(I,293)
(I,292)
(I,291)
(I,290)
(I,289)
(I,288)
(I,287)
(I,286)
(I,285)
(I,284)
(I,283)
(I,282)
(I,281)
(I,280)
(I,279)
(I,278)
(I,277)
(I,276)
(I,275)
(I,274)
(I,273)
(I,272)
(I,271)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(P,0)
(I,0)
(I,0)
(I,0)
(I,0)
(I,0)
(I,0)
(I,0)
(I,0)
(I,0)
(I,0)
(I,0)
(I,0)
(I,0)
(I,0)
(I,0)
(I,0)
(I,0)
(I,0)
(I,0)
(I,0)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(P,0)
(I,0)
(I,0)
(I,0)
(I,0)
(I,0)
(I,0)
(I,0)
(I,0)
(I,0)
(I,0)
(I,0)
(I,0)
(I,0)
(I,0)
(I,0)
(I,0)
(I,0)
(I,0)
(I,0)
(I,0)
(I,0)
(I,0)
(I,0)
(I,0)
(I,0)
(I,0)
(I,0)
(I,0)
(I,0)
(I,0)
(I,0)
(I,0)
(I,0)
(I,0)
(I,0)
(I,0)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
(O,|)
