A	(B,premise,26)
divulgação	(I,premise,25)
do	(I,premise,24)
Esboço	(I,premise,23)
do	(I,premise,22)
Orçamento	(I,premise,21)
do	(I,premise,20)
Estado	(I,premise,19)
para	(I,premise,18)
este	(I,premise,17)
ano	(I,premise,16)
–	(O,|,|)
é	(O,|,|)
mesmo	(O,|,|)
assim	(O,|,|)
que	(O,|,|)
se	(O,|,|)
chama	(O,|,|)
e	(O,|,|)
está	(O,|,|)
aqui	(O,|,|)
–	(O,|,|)
confirma	(O,|,|)
a	(O,|,|)
ideia	(O,|,|)
que	(O,|,|)
o	(B,claim,0)
anúncio	(I,claim,0)
do	(I,claim,0)
fim	(I,claim,0)
da	(I,claim,0)
austeridade	(I,claim,0)
foi	(I,claim,0)
manifestamente	(I,claim,0)
exagerado	(I,claim,0)
.	(O,|,|)
