A	(B,premise,12)
guarda	(I,premise,11)
costeira	(I,premise,10)
italiana	(I,premise,9)
acolheu	(I,premise,8)
mais	(I,premise,7)
de	(I,premise,6)
mil	(I,premise,5)
emigrantes	(I,premise,4)
da	(I,premise,3)
Líbia	(I,premise,2)
.	(O,|,|)
Nos	(B,claim,0)
últimos	(I,claim,0)
dias	(I,claim,0)
têm-se	(I,claim,0)
intensificado	(I,claim,0)
estas	(I,claim,0)
viagens	(I,claim,0)
de	(I,claim,0)
africanos	(I,claim,0)
que	(I,claim,0)
querem	(I,claim,0)
ir	(I,claim,0)
para	(I,claim,0)
a	(I,claim,0)
Europa	(I,claim,0)
.	(O,|,|)
